version,ns1:timeZone,ns1:type,ns1:locationId,ns1:parameterId,ns1:ensembleId,ns1:ensembleMemberIndex,unit,multiplier,date,time,date2,time3,date4,time5,ns1:missVal,ns1:stationName,ns1:units,ns1:creationDate,ns1:creationTime,date6,time7,value,flag
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/5/2018,18:00:00,18869.445,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/6/2018,0:00:00,17791.158,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/6/2018,6:00:00,16969.824,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/6/2018,12:00:00,16451.688,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/6/2018,18:00:00,16061.612,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/7/2018,0:00:00,15582.138,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/7/2018,6:00:00,15026.137,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/7/2018,12:00:00,14556.405,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/7/2018,18:00:00,14155.658,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/8/2018,0:00:00,13770.813,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/8/2018,6:00:00,13423.095,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/8/2018,12:00:00,13220.173,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/8/2018,18:00:00,13187.411,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/9/2018,0:00:00,13459.681,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/9/2018,6:00:00,13888.33,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/9/2018,12:00:00,14361.755,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/9/2018,18:00:00,15882.094,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/10/2018,0:00:00,17269.229,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/10/2018,6:00:00,18362.422,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/10/2018,12:00:00,19381.342,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/10/2018,18:00:00,19987.152,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/11/2018,0:00:00,19370.342,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/11/2018,6:00:00,18135.691,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/11/2018,12:00:00,17020.264,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/11/2018,18:00:00,16305.781,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/12/2018,0:00:00,15713.18,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/12/2018,6:00:00,15331.5625,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/12/2018,12:00:00,15382.342,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/12/2018,18:00:00,16342.582,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/13/2018,0:00:00,17418,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/13/2018,6:00:00,18311.861,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/13/2018,12:00:00,19688.512,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/13/2018,18:00:00,21616.59,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/14/2018,0:00:00,23832.55,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/14/2018,6:00:00,25298.703,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/14/2018,12:00:00,27630.035,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/14/2018,18:00:00,28977.775,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/15/2018,0:00:00,30956.623,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/15/2018,6:00:00,32145.568,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/15/2018,12:00:00,30572.482,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/15/2018,18:00:00,27845.156,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/16/2018,0:00:00,25300.203,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/16/2018,6:00:00,23344.912,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/16/2018,12:00:00,21686.496,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/16/2018,18:00:00,20329.51,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/17/2018,0:00:00,19191.453,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/17/2018,6:00:00,18161.23,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/17/2018,12:00:00,17345.752,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/17/2018,18:00:00,16769.074,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/18/2018,0:00:00,16270.265,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/18/2018,6:00:00,15983.4,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/18/2018,12:00:00,16028.906,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/18/2018,18:00:00,16514.861,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/19/2018,0:00:00,16900.377,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/19/2018,6:00:00,17198.521,0
